S.No.,Chapter,HSN Chapter,No. of GSTNs_z1,Taxable value 24_25_z2,YoY growth_z3
1,1,Chapter 1,0.0,574816.04,0.276254
2,2,Chapter 2,0.0,1991353.84,0.329038
3,3,Chapter 3,0.0,2439.27,
4,4,Chapter 4,0.0,13990016.86,1.647547
5,5,Chapter 5,0.0,12577.71,-0.992318
6,6,Chapter 6,0.0,4579.88,-0.024727
7,7,Chapter 7,0.0,237292.55,-0.5812559999999999
8,8,Chapter 8,0.0,2533938.280000001,0.5956019999999999
9,9,Chapter 9,0.0,3330166.450000001,11.833399
10,10,Chapter 10,0.0,41348512688.889984,0.39203729416278754
11,11,Chapter 11,0.0,14848966902.789999,50.94968647577752
12,12,Chapter 12,0.0,5488567467.059999,0.37920681114471005
13,13,Chapter 13,0.0,1914998589.5800002,0.4818284543160693
14,14,Chapter 14,0.0,609147737.9500002,0.4703688320236111
15,15,Chapter 15,0.0,50937114765.83,0.33251895826140954
16,16,Chapter 16,0.0,803362503.0000002,0.33935805866139335
17,17,Chapter 17,0.0,30510241829.13,0.10278449893143117
18,18,Chapter 18,0.0,4881249013.08,0.32810427611374304
19,19,Chapter 19,0.0,21121996317.9,0.0661239264084541
20,20,Chapter 20,0.0,13483458894.92,1.9371062360339297
21,21,Chapter 21,0.0,54338033889.08,0.018718736495520184
22,22,Chapter 22,0.0,23247998160.49,1.3360758862722542
23,23,Chapter 23,0.0,10557007748.69,0.49899255206076304
24,24,Chapter 24,0.0,16027453448.219997,0.9656938786595176
25,25,Chapter 25,0.0,36798100087.20999,0.19962196165103813
26,26,Chapter 26,0.0,1629295910.69,0.7541719394585988
27,27,Chapter 27,0.0,197641696078.33,0.03036736645166588
28,28,Chapter 28,0.0,4973168086.77,1.402461218993809
29,29,Chapter 29,0.0,17537312679.48,0.30812319885227846
30,30,Chapter 30,0.0,110025754018.56999,0.08701114608278686
31,31,Chapter 31,0.0,1347930674.47,1.043290460536837
32,32,Chapter 32,0.0,25959705243.3,0.0806072767177004
33,33,Chapter 33,0.0,33281641511.30999,0.13862651855339236
34,34,Chapter 34,0.0,14518195345.890001,0.4593418214389811
35,35,Chapter 35,0.0,7519927179.02,0.30191098512035885
36,36,Chapter 36,0.0,336744711.69,3.127550189831164
37,37,Chapter 37,0.0,2077731661.43,-0.039553885075164316
38,38,Chapter 38,0.0,29072217793.910004,0.08368355818147899
39,39,Chapter 39,0.0,145844401424.26,0.1634499723817962
40,40,Chapter 40,0.0,67046094595.74,0.08964829224617267
41,41,Chapter 41,0.0,893430214.1800001,0.40425093875335494
42,42,Chapter 42,0.0,14933488327.17,-0.5593172771350072
43,43,Chapter 43,0.0,53001740.96000001,68.941112230992
44,44,Chapter 44,0.0,22994608870.58,0.250871020512084
45,45,Chapter 45,0.0,84276491.29000002,-0.018804813775535653
46,46,Chapter 46,0.0,193543866.87,0.08671027056369383
47,47,Chapter 47,0.0,23256673003.219997,0.25031146371003693
48,48,Chapter 48,0.0,82023820055.81999,0.02288520248772626
49,49,Chapter 49,0.0,15670754316.29,-0.0184360190555861
50,50,Chapter 50,0.0,5247874863.88,0.8586366061208184
51,51,Chapter 51,0.0,910493030.3399998,0.16780089972977036
52,52,Chapter 52,0.0,93074467403.54001,-0.03394110780497922
53,53,Chapter 53,0.0,658019393.2900001,-0.18930841594260955
54,54,Chapter 54,0.0,41199655304.05,0.25690134852951807
55,55,Chapter 55,0.0,21445219809.7,6.44638711643638
56,56,Chapter 56,0.0,2946731601.630001,0.20830560034584053
57,57,Chapter 57,0.0,1958306080.39,0.04900331153076483
58,58,Chapter 58,0.0,5679292931.77,0.16544308382421705
59,59,Chapter 59,0.0,8352538849.700002,0.16557834726290993
60,60,Chapter 60,0.0,34893909814.31,0.08915012732650737
61,61,Chapter 61,0.0,85974558074.87,-0.016907408887382118
62,62,Chapter 62,0.0,204186778318.99005,-0.00384916372913577
63,63,Chapter 63,0.0,10404955526.97,0.04298578998911763
64,64,Chapter 64,0.0,15593054332.91,0.11881218222216544
65,65,Chapter 65,0.0,1699281252.54,0.0834765081463568
66,66,Chapter 66,0.0,241161729.94000012,42.78188747091326
67,67,Chapter 67,0.0,934018466.8400002,-0.017147980030703978
68,68,Chapter 68,0.0,5225391920.849999,0.07022899607516518
69,69,Chapter 69,0.0,8861014786.460001,-0.07838794754868003
70,70,Chapter 70,0.0,15618087270.390001,0.20270126734376656
71,71,Chapter 71,0.0,350193898157.4401,1.579724963180108
72,72,Chapter 72,0.0,167625316327.62,0.09024457088681694
73,73,Chapter 73,0.0,48107259681.7,0.20704070300614338
74,74,Chapter 74,0.0,227237426583.10004,0.04139958393010175
75,75,Chapter 75,0.0,5434921213.700002,1.7915906563820183
76,76,Chapter 76,0.0,107542426024.85,0.44300444082067186
77,77,Chapter 77,0.0,5518403.79,96.42800849383944
78,78,Chapter 78,0.0,16110025790.650002,0.15126671819071769
79,79,Chapter 79,0.0,5022527010.240001,-0.032688850339520736
80,80,Chapter 80,0.0,32962160514.54,4.478511809841826
81,81,Chapter 81,0.0,2876420897.55,2.051357484000314
82,82,Chapter 82,0.0,7028305878.259999,0.2507070207214328
83,83,Chapter 83,0.0,12686384744.23,0.7649645454223305
84,84,Chapter 84,0.0,306967932075.87,0.02984947334069211
85,85,Chapter 85,0.0,415104841433.78015,0.08481570290460841
86,86,Chapter 86,0.0,666594486.8100001,460.79722039948604
87,87,Chapter 87,0.0,137418997836.81,0.40201847152287373
88,88,Chapter 88,0.0,3051339469.79,25.25577175258242
89,89,Chapter 89,0.0,334845686.71000004,5.37340496631221
90,90,Chapter 90,0.0,83394639024.89,0.06479014328599823
91,91,Chapter 91,0.0,17363671452.920002,0.11106244477786567
92,92,Chapter 92,0.0,561597193.45,0.9006091289509695
93,93,Chapter 93,0.0,133156589.84,2.3547285978884167
94,94,Chapter 94,0.0,25114780244.239998,-0.08803393964695913
95,95,Chapter 95,0.0,9741834480.890001,0.8768673772591722
96,96,Chapter 96,0.0,20368933044.21,0.13350979884848288
97,97,Chapter 97,0.0,5175309188.94,0.17347925754546004
98,98,Chapter 98,0.0,31636444656.32,2.124586755680426
99,99,Chapter 99,0.0,518715841.88,-0.14058779628180484
