S.No.,Chapter,HSN Chapter,No. of GSTNs_z1,Taxable value 24_25_z2,YoY growth_z3,chapter_key
1,2,Chapter 2,0.0,262490.0,28.559684,
2,6,Chapter 6,0.0,4579.88,,
3,7,Chapter 7,0.0,6866.81,,
4,9,Chapter 9,0.0,16363.88,,
5,10,10 - Cereals,1499.0,7085779663.339998,0.22638382089304,10
6,11,11 - Products of the milling industry; malt; starches; inulin; wheat gluten,356.0,2464005772.79,0.0111597958653949,11
7,12,"12 - Oil seeds and oleaginous fruits; grains, seeds and fruit; industrial/medicinal plants; straw and fodder",182.0,666125726.92,0.1014475539855729,12
8,13,"13 - Lac; gums, resins and other vegetable saps and extracts",56.0,132183501.68,-0.3308504554528532,13
9,14,14 - Vegetable plaiting materials; vegetable products n.e.s.,43.0,75995398.14000002,4.274743275083393,14
10,15,15 - Animal or vegetable fats and oils; prepared edible fats; animal or vegetable waxes,267.0,9302443532.79,0.5413494622192787,15
11,16,"16 - Preparations of meat, fish or crustaceans, molluscs or other aquatic invertebrates",45.0,16833650.53,1.2262100587793303,16
12,17,17 - Sugars and sugar confectionery,341.0,5339990809.78,-0.0126429397657268,17
13,18,18 - Cocoa and cocoa preparations,146.0,301332510.61,0.1694337585383894,18
14,19,"19 - Preparations of cereals, flour, starch or milk; pastrycooks' products",724.0,1791934337.24,-0.0150679666493483,19
15,20,"20 - Preparations of vegetables, fruit, nuts or other parts of plants",213.0,1569778549.15,0.5967824158360095,20
16,21,21 - Miscellaneous edible preparations,682.0,3014564605.57,-0.0159363311178547,21
17,22,"22 - Beverages, spirits and vinegar",320.0,1404352168.83,1.2081518296796134,22
18,23,23 - Residues and waste from the food industries; prepared animal fodder,95.0,297234814.56,-0.408481655146352,23
19,24,24 - Tobacco and manufactured tobacco substitutes,76.0,2815338876.05,0.3679842974017251,24
20,25,"25 - Salt; sulphur; earths and stone; plastering materials, lime and cement",625.0,4691276584.050001,0.6169926630694845,25
21,26,"26 - Ores, slag and ash",218.0,255511958.03,3.453934228500146,26
22,27,"27 - Mineral fuels, mineral oils; products of their distillation; bituminous substances; mineral waxes",219.0,6167252222.9800005,1.053808727133698,27
23,28,"28 - Inorganic chemicals; compounds of precious metals, rare-earth metals, radioactive elements or isotopes",169.0,553202245.4300001,5.291746638749889,28
24,29,29 - Organic chemicals,197.0,1334598749.9,1.3134659769262182,29
25,30,30 - Pharmaceutical products,999.0,10812220804.53,0.1191239507156059,30
26,31,31 - Fertilisers,33.0,397524376.32,1.500630467703954,31
27,32,"32 - Tanning or dyeing extracts; tannins; dyes, pigments; paints and varnishes; putty and mastics; inks",865.0,2922055784.2000003,0.2329405515452395,32
28,33,"33 - Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1736.0,2321344216.8,-0.0639418794341899,33
29,34,34 - Soap; organic surface-active agents; washing preparations; lubricating preparations; artificial waxes; polishing/scouring preparations,790.0,1166456497.16,-0.1986598801049801,34
30,35,35 - Albuminoidal substances; modified starches; glues; enzymes,297.0,850956252.2800001,0.1054195895448818,35
31,36,36 - Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,84.0,52470632.13,0.1494912263596355,36
32,37,37 - Photographic or cinematographic goods,205.0,100479976.97,-0.1040771427273968,37
33,38,38 - Miscellaneous chemical products,521.0,2890807988.670001,1.041109984883041,38
34,39,39 - Plastics and articles thereof,4390.0,27802742606.570004,0.1801693379129965,39
35,40,40 - Rubber and articles thereof,735.0,6132124389.43,1.291199429882696,40
36,41,41 - Raw hides and skins (other than furskins) and leather,43.0,167328010.71,0.1763706354746534,41
37,42,"42 - Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",2024.0,1553717844.450001,-0.7840222484972863,42
38,43,43 - Furskins and artificial fur; manufactures thereof,194.0,489404.76,6.473153180627674,43
39,44,44 - Wood and articles of wood; wood charcoal,1376.0,4731676375.96,1.00816815999527,44
40,45,45 - Cork and articles of cork,7.0,6458968.020000002,1.3256135556582511,45
41,46,"46 - Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",22.0,18219702.410000004,-0.1278135832933425,46
42,47,47 - Pulp of wood/other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,316.0,5053960674.179999,4.2441810912405264,47
43,48,"48 - Paper and paperboard; articles of paper pulp, paper or paperboard",3270.0,20934743782.640003,0.0182324589279887,48
44,49,"49 - Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",822.0,1060121686.84,0.0716648854632605,49
45,50,50 - Silk,1162.0,285700757.0700001,16.633412140929714,50
46,51,"51 - Wool, fine/coarse animal hair; horsehair yarn and woven fabric",367.0,54156541.24,12.251515015260264,51
47,52,52 - Cotton,6344.0,66894332699.700005,-0.0657938427750007,52
48,53,53 - Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,497.0,109376342.09000002,-0.2535448696521807,53
49,54,54 - Man-made filaments,2432.0,22836115003.82,0.001214123560711,54
50,55,55 - Man-made staple fibres,1417.0,11328483286.98,0.0221018902093147,55
51,56,"56 - Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",358.0,1111294097.68,0.4567157777229056,56
52,57,57 - Carpets and other textile floor coverings,129.0,171012837.31,0.8150021400380258,57
53,58,58 - Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,1237.0,2283784186.1400003,0.0687728660448569,58
54,59,59 - Impregnated/coated/covered/laminated textile fabrics; textile articles suitable for industrial use,1743.0,4205057880.8699994,0.448537029771464,59
55,60,60 - Knitted or crocheted fabrics,1752.0,25274770417.9,0.0213822666921996,60
56,61,"61 - Articles of apparel and clothing accessories, knitted or crocheted",14352.0,46896508353.82,-0.0318133806793164,61
57,62,"62 - Articles of apparel and clothing accessories, not knitted or crocheted",14929.0,131343218875.44,-0.0437652625273956,62
58,63,63 - Other made-up textile articles; sets; worn clothing and worn textile articles; rags,1552.0,3224914600.14,0.4931116719176223,63
59,64,"64 - Footwear, gaiters and the like; parts of such articles",1099.0,1230914632.32,0.7895290947677379,64
60,65,65 - Headgear and parts thereof,186.0,436428349.9000001,0.129045638527213,65
61,66,"66 - Umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof",49.0,77210869.84,22.89572698450993,66
62,67,67 - Prepared feathers and down; articles made of feathers or down; artificial flowers; articles of human hair,96.0,56531231.78000001,0.2038032391917867,67
63,68,"68 - Articles of stone, plaster, cement, asbestos, mica or similar materials",574.0,516203407.34,0.3773300483350731,68
64,69,69 - Ceramic products,877.0,2592223245.18,-0.0177737608562486,69
65,70,70 - Glass and glassware,1122.0,1798475017.2,3.452853251419155,70
66,71,"71 - Pearls, precious/semi-precious stones, precious metals; imitation jewellery; coin",2082.0,10366795884.750002,0.1450001356025478,71
67,72,72 - Iron and steel,1864.0,29760278084.77,3.4072116770439065,72
68,73,73 - Articles of iron or steel,2414.0,7343376103.590001,0.2397592572792155,73
69,74,74 - Copper and articles thereof,1343.0,31773175816.540012,0.1990816182053247,74
70,75,75 - Nickel and articles thereof,38.0,281760035.75,-0.1647401374858404,75
71,76,76 - Aluminium and articles thereof,1212.0,15217574216.29,0.5263080494660708,76
72,77,77 - Reserved for possible future use,0.0,255511.11,-0.6251437826086956,77
73,78,78 - Lead and articles thereof,35.0,3381809965.19,1.3072785263379496,78
74,79,79 - Zinc and articles thereof,107.0,820567963.4200001,0.9487978380640042,79
75,80,80 - Tin and articles thereof,94.0,5547425058.91,0.0019570315214689,80
76,81,81 - Other base metals; cermets; articles thereof,22.0,422726372.53,72.00463655065585,81
77,82,"82 - Tools, implements, cutlery, spoons and forks, of base metal; parts thereof",530.0,614984517.8100001,1.0290015510129729,82
78,83,83 - Miscellaneous articles of base metal,1118.0,2511964915.76,0.2304605269468777,83
79,84,"84 - Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",4010.0,14997141489.71,1.997455391797501,84
80,85,85 - Electrical machinery and equipment; sound recorders/reproducers; television image and sound recorders/reproducers; parts and accessories,5322.0,36023665907.1,0.1785009520228274,85
81,86,"86 - Railway or tramway locomotives, rolling-stock and parts; track fixtures; traffic signalling equipment",30.0,33373642.05,1512.9408463786472,86
82,87,87 - Vehicles other than railway or tramway rolling-stock; parts and accessories,1133.0,8702638662.62,0.2076573817399806,87
83,88,"88 - Aircraft, spacecraft, and parts thereof",19.0,22487645.45,4.604503073840523,88
84,89,"89 - Ships, boats and floating structures",23.0,1568598.61,100.21216126524432,89
85,90,"90 - Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories",1385.0,5291336782.3,0.2589106909440255,90
86,91,91 - Clocks and watches and parts thereof,600.0,749233121.4800001,0.7174532511694911,91
87,92,92 - Musical instruments; parts and accessories of such articles,58.0,239390337.42,0.9251246247697972,92
88,93,93 - Arms and ammunition; parts and accessories thereof,40.0,6962715.109999999,0.6565137425536238,93
89,94,94 - Furniture; bedding; lamps and lighting fittings; illuminated signs; prefabricated buildings,1684.0,3287071655.94,0.1206090112027786,94
90,95,"95 - Toys, games and sports requisites; parts and accessories thereof",1345.0,1501916175.99,-0.0973434937048057,95
91,96,96 - Miscellaneous manufactured articles,1706.0,3322479583.86,0.3522248651295868,96
92,97,"97 - Works of art, collectors' pieces and antiques",155.0,25389519.31,-0.1240214021710212,97
93,98,98 - Project imports; laboratory chemicals; passengers' baggage; personal importation by air or post; ship stores,364.0,61479417.99,1506.8599631257075,98
94,99,"09 - Coffee, tea, mate and spices",8276.0,80488871.9,2.735647179732054,99
