S.No.,Chapter,HSN Chapter,No. of GSTNs_z1,Taxable value 24_25_z2,YoY growth_z3,chapter_key
1,2,Chapter 2,0.0,1097.47,,
2,4,Chapter 4,0.0,1177411.12,45.722663,
3,7,Chapter 7,0.0,188.58,,
4,8,Chapter 8,0.0,1213574.59,47.167278,
5,10,10 - Cereals,1790.0,5069044313.000001,0.5708492116297534,10
6,11,11 - Products of the milling industry; malt; starches; inulin; wheat gluten,409.0,2396241058.4,0.1092069828454273,11
7,12,"12 - Oil seeds and oleaginous fruits; grains, seeds and fruit; industrial/medicinal plants; straw and fodder",187.0,418225422.57,0.9570789510862544,12
8,13,"13 - Lac; gums, resins and other vegetable saps and extracts",44.0,57332619.84999999,0.6677617070839518,13
9,14,14 - Vegetable plaiting materials; vegetable products n.e.s.,37.0,59985591.23000001,9.929535360616647,14
10,15,15 - Animal or vegetable fats and oils; prepared edible fats; animal or vegetable waxes,345.0,4112714912.24,0.3582149134548459,15
11,16,"16 - Preparations of meat, fish or crustaceans, molluscs or other aquatic invertebrates",30.0,2312587.14,6.748633082480838,16
12,17,17 - Sugars and sugar confectionery,387.0,2739386354.530001,0.0165710473358867,17
13,18,18 - Cocoa and cocoa preparations,92.0,401241290.3900001,0.3141283783317904,18
14,19,"19 - Preparations of cereals, flour, starch or milk; pastrycooks' products",628.0,1286835251.93,0.2063726794475729,19
15,20,"20 - Preparations of vegetables, fruit, nuts or other parts of plants",194.0,554695022.37,162.17061773268182,20
16,21,21 - Miscellaneous edible preparations,551.0,2595450863.88,0.1311646038407277,21
17,22,"22 - Beverages, spirits and vinegar",264.0,1255445501.04,0.3768768286133085,22
18,23,23 - Residues and waste from the food industries; prepared animal fodder,99.0,1743147344.8,2.1450834205948657,23
19,24,24 - Tobacco and manufactured tobacco substitutes,58.0,723845625.2400001,0.3461044646085939,24
20,25,"25 - Salt; sulphur; earths and stone; plastering materials, lime and cement",702.0,6480664162.43,0.8690710159259386,25
21,26,"26 - Ores, slag and ash",334.0,597564948.33,0.9770883017336084,26
22,27,"27 - Mineral fuels, mineral oils; products of their distillation; bituminous substances; mineral waxes",282.0,8245217707.04,1.4260429669556764,27
23,28,"28 - Inorganic chemicals; compounds of precious metals, rare-earth metals, radioactive elements or isotopes",170.0,698019579.09,1.4917136787762602,28
24,29,29 - Organic chemicals,192.0,1513403396.75,0.7364863778446686,29
25,30,30 - Pharmaceutical products,702.0,9317667182.529997,0.0444097210110542,30
26,31,31 - Fertilisers,43.0,583235131.12,0.9807221541727094,31
27,32,"32 - Tanning or dyeing extracts; tannins; dyes, pigments; paints and varnishes; putty and mastics; inks",804.0,3099401416.97,1.0238282416594937,32
28,33,"33 - Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1507.0,3346187383.8500004,-0.0143835035531672,33
