S.No,Zone,Commissionerate,Division,Range,HSN Code,Chapter,No. of GSTNs_z1,Taxable value 24_25_z2,YoY growth_z3
1,DELHI,DELHI EAST,All Divisions,All Ranges,8703,87,,89693240914.339996,-1.0442E-2
2,DELHI,DELHI EAST,All Divisions,All Ranges,8471,84,,145879901193.5,1.1911E-2
3,DELHI,DELHI EAST,All Divisions,All Ranges,8517,85,,136257076675.78011,-0.24873500000000001
4,DELHI,DELHI EAST,All Divisions,All Ranges,7404,74,,128184402877.78,-1.6947E-2
5,DELHI,DELHI EAST,All Divisions,All Ranges,2402,24,,11060269634.879999,1.3337159999999999
6,DELHI,DELHI EAST,All Divisions,All Ranges,7408,74,,79126607431.550034,4.9222000000000002E-2
7,DELHI,DELHI EAST,All Divisions,All Ranges,7204,72,,75631410513.699997,-0.111764
8,DELHI,DELHI EAST,All Divisions,All Ranges,2106,21,,43883892777.389999,2.6894000000000001E-2
9,DELHI,DELHI EAST,All Divisions,All Ranges,8544,85,,62121374011.25,1.2656000000000001E-2
10,DELHI,DELHI EAST,All Divisions,All Ranges,3004,30,,90023564623.499985,1.3674E-2
11,DELHI,DELHI EAST,All Divisions,All Ranges,8548,85,,49520165527.860023,1.0335209999999999
12,DELHI,DELHI EAST,All Divisions,All Ranges,7602,76,,49631630054.920013,0.36573
13,DELHI,DELHI EAST,All Divisions,All Ranges,9807,98,,30758720576.099998,1.056576
14,DELHI,DELHI EAST,All Divisions,All Ranges,2523,25,,30007305166.519989,7.5298000000000004E-2
15,DELHI,DELHI EAST,All Divisions,All Ranges,8415,84,,24190928606.509998,0.25204300000000002
16,DELHI,DELHI EAST,All Divisions,All Ranges,7214,72,,35704524990.080002,0.27346100000000001
17,DELHI,DELHI EAST,All Divisions,All Ranges,7108,71,,167099230333.99011,0.92578899999999997
18,DELHI,DELHI EAST,All Divisions,All Ranges,2202,22,,15191377726.26,0.24130699999999999
19,DELHI,DELHI EAST,All Divisions,All Ranges,6203,62,,77201817350.940018,-8.5625999999999994E-2
20,DELHI,DELHI EAST,All Divisions,All Ranges,8473,84,,26961398184.060001,6.8219000000000002E-2
21,DELHI,DELHI EAST,All Divisions,All Ranges,3901,39,,26678489478.60001,0.27586699999999997
22,DELHI,DELHI EAST,All Divisions,All Ranges,6204,62,,57691046036.130013,4.2980999999999998E-2
23,DELHI,DELHI EAST,All Divisions,All Ranges,2403,24,,4559054973.1599989,0.115097
24,DELHI,DELHI EAST,All Divisions,All Ranges,8528,85,,18321751213.869999,2.2006000000000001E-2
25,DELHI,DELHI EAST,All Divisions,All Ranges,3902,39,,21149216198.209999,0.372002
26,DELHI,DELHI EAST,All Divisions,All Ranges,7601,76,,19043836725.299999,0.52891900000000003
27,DELHI,DELHI EAST,All Divisions,All Ranges,8443,84,,18412756821.080009,-4.8778000000000002E-2
28,DELHI,DELHI EAST,All Divisions,All Ranges,8708,87,,12350225719.950001,-6.2977000000000005E-2
29,DELHI,DELHI EAST,All Divisions,All Ranges,3904,39,,18062774561.919998,8.9595999999999995E-2
30,DELHI,DELHI EAST,All Divisions,All Ranges,8711,87,,11463868692.190001,9.7826999999999997E-2
31,DELHI,DELHI EAST,All Divisions,All Ranges,7801,78,,15693661325.620001,0.154423
32,DELHI,DELHI EAST,All Divisions,All Ranges,4810,48,,23277072889.709999,3.9673E-2
33,DELHI,DELHI EAST,All Divisions,All Ranges,7604,76,,13885874791.9,0.17844099999999999
34,DELHI,DELHI EAST,All Divisions,All Ranges,7113,71,,95338454452.729996,0.25064199999999998
35,DELHI,DELHI EAST,All Divisions,All Ranges,9018,90,,23295788565.310001,6.5258999999999998E-2
36,DELHI,DELHI EAST,All Divisions,All Ranges,8523,85,,14525985695.23,-0.108153
37,DELHI,DELHI EAST,All Divisions,All Ranges,8518,85,,14154159694.280001,-8.0867999999999995E-2
38,DELHI,DELHI EAST,All Divisions,All Ranges,8507,85,,10903647115.940001,-4.8987000000000003E-2
39,DELHI,DELHI EAST,All Divisions,All Ranges,8504,85,,14112157377.67,-6.9066000000000002E-2
40,DELHI,DELHI EAST,All Divisions,All Ranges,3304,33,,13496583416.699989,7.5464000000000003E-2
41,DELHI,DELHI EAST,All Divisions,All Ranges,8536,85,,13166097629.220011,-1.7984E-2
42,DELHI,DELHI EAST,All Divisions,All Ranges,7306,73,,13141605327.940001,0.167521
43,DELHI,DELHI EAST,All Divisions,All Ranges,9102,91,,12370693875.120001,7.9191999999999999E-2
44,DELHI,DELHI EAST,All Divisions,All Ranges,8704,87,,8280909649.7299995,-0.176062
45,DELHI,DELHI EAST,All Divisions,All Ranges,3920,39,,11724756433.129999,1.248E-2
46,DELHI,DELHI EAST,All Divisions,All Ranges,3923,39,,11941625504.719999,0.102477
47,DELHI,DELHI EAST,All Divisions,All Ranges,3915,39,,11793805206.68,0.58235099999999995
48,DELHI,DELHI EAST,All Divisions,All Ranges,8481,84,,11621332140.82,0.11203299999999999
49,DELHI,DELHI EAST,All Divisions,All Ranges,4202,42,,13043273531.74,-0.64892399999999995
50,DELHI,DELHI EAST,All Divisions,All Ranges,9405,94,,10892268822.879999,-0.15487799999999999
51,DELHI,DELHI EAST,All Divisions,All Ranges,8714,87,,7393504113.079998,0.210231
