S.No,Zone,Commissionerate,Division,Range,HSN Code,HSN Section,HSN Chapter,Chapter,No. of GSTNs_z1,Taxable value 24_25_z2,YoY growth_z3,hsn4_key
1,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7404,Section XV - Base metals and utensils,74 - Copper and articles thereof,74,622.0,22111466539.92001,0.123909,7404
2,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6203,Section XI - Textiles and textile articles,"62 - Articles of apparel and clothing accessories, not knitted or crocheted",62,5058.0,63040988039.81,-0.088164,6203
3,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8517,"Section XVI - Machinery and appliances (ACs, TVs, refrigerators)",85 - Electrical machinery and equipment; sound recorders/reproducers; television image and sound recorders/reproducers; parts and accessories,85,1021.0,13427620876.84,-0.028872,8517
4,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6204,Section XI - Textiles and textile articles,"62 - Articles of apparel and clothing accessories, not knitted or crocheted",62,4568.0,32049923196.70999,0.012226,6204
5,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7204,Section XV - Base metals and utensils,72 - Iron and steel,72,839.0,12383029292.88,0.052467,7204
6,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7602,Section XV - Base metals and utensils,76 - Aluminium and articles thereof,76,548.0,10269738574.07,0.172975,7602
7,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,5211,Section XI - Textiles and textile articles,52 - Cotton,52,1647.0,29818691814.88,-0.037522,5211
8,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,2402,"Section IV - Prepared foodstuffs; beverages, spirits, tobacco",24 - Tobacco and manufactured tobacco substitutes,24,39.0,1213196931.63,0.013265,2402
9,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8548,"Section XVI - Machinery and appliances (ACs, TVs, refrigerators)",85 - Electrical machinery and equipment; sound recorders/reproducers; television image and sound recorders/reproducers; parts and accessories,85,367.0,7843959785.770001,0.362725,8548
10,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3901,"Section VII - Plastics, rubber, and related articles",39 - Plastics and articles thereof,39,111.0,7081312023.750001,0.039402,3901
11,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,4810,"Section X - Paper, paperboard, and related articles","48 - Paper and paperboard; articles of paper pulp, paper or paperboard",48,462.0,9932441447.230001,-0.057709,4810
12,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8711,"Section XVII - Vehicles, aircraft, vessels",87 - Vehicles other than railway or tramway rolling-stock; parts and accessories,87,70.0,4462894772.2300005,0.113593,8711
13,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3004,Section VI - Chemicals and allied products,30 - Pharmaceutical products,30,445.0,9972940078.749998,0.043238,3004
14,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,7214,Section XV - Base metals and utensils,72 - Iron and steel,72,167.0,6284946373.590001,0.150512,7214
15,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,2523,"Section V - Mineral products (e.g., cement)","25 - Salt; sulphur; earths and stone; plastering materials, lime and cement",25,284.0,4026551952.210001,0.308902,2523
16,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6006,Section XI - Textiles and textile articles,60 - Knitted or crocheted fabrics,60,1333.0,20382680730.44,-0.026804,6006
