S.No,Zone,Commissionerate,Division,Range,HSN Code,Chapter,No. of GSTNs_z1,Taxable value 24_25_z2,YoY growth_z3
1,DELHI,DELHI EAST,MANDOLI,All Ranges,7404,74,,57701397881.700020000,-0.112155
2,DELHI,DELHI EAST,MANDOLI,All Ranges,7204,72,,29588588735.270000000,0.040245
3,DELHI,DELHI EAST,MANDOLI,All Ranges,7602,76,,23970232137.660000000,0.402028
4,DELHI,DELHI EAST,MANDOLI,All Ranges,8548,85,,22650832201.500000000,1.213365
5,DELHI,DELHI EAST,MANDOLI,All Ranges,7408,74,,13011555943.040000000,0.382809
6,DELHI,DELHI EAST,MANDOLI,All Ranges,7601,76,,9404769033.709998000,0.670936
7,DELHI,DELHI EAST,MANDOLI,All Ranges,2523,25,,5764161162.810000000,0.556418
8,DELHI,DELHI EAST,MANDOLI,All Ranges,7604,76,,6991399016.530001000,0.344716
9,DELHI,DELHI EAST,MANDOLI,All Ranges,7801,78,,6744087892.039999000,0.857579
10,DELHI,DELHI EAST,MANDOLI,All Ranges,3004,30,,8647295185.959997000,0.025452
11,DELHI,DELHI EAST,MANDOLI,All Ranges,8544,85,,5099080646.779999000,0.390699
12,DELHI,DELHI EAST,MANDOLI,All Ranges,8708,87,,3301247131.210000000,0.011069
13,DELHI,DELHI EAST,MANDOLI,All Ranges,7214,72,,4872839994.719999000,0.435253
14,DELHI,DELHI EAST,MANDOLI,All Ranges,3901,39,,4780066698.349999000,0.436840
15,DELHI,DELHI EAST,MANDOLI,All Ranges,8549,85,,4769469243.330000000,2.658344
16,DELHI,DELHI EAST,MANDOLI,All Ranges,8714,87,,2896698888.350000000,2.746979
17,DELHI,DELHI EAST,MANDOLI,All Ranges,3915,39,,4440305831.329999000,1.253564
18,DELHI,DELHI EAST,MANDOLI,All Ranges,8703,87,,2490829424.340001000,-0.346455
19,DELHI,DELHI EAST,MANDOLI,All Ranges,7403,74,,4222478519.240001000,-0.098468
20,DELHI,DELHI EAST,MANDOLI,All Ranges,8517,85,,4083153340.270000000,-0.335578
21,DELHI,DELHI EAST,MANDOLI,All Ranges,7306,73,,3631976095.450001000,0.099789
22,DELHI,DELHI EAST,MANDOLI,All Ranges,4804,48,,4665300877.869999000,-0.012407
23,DELHI,DELHI EAST,MANDOLI,All Ranges,3902,39,,2963353455.130000000,0.093233
24,DELHI,DELHI EAST,MANDOLI,All Ranges,8481,84,,2965957326.620001000,0.732983
25,DELHI,DELHI EAST,MANDOLI,All Ranges,2402,24,,437171119.320000100,0.032157
26,DELHI,DELHI EAST,MANDOLI,All Ranges,8415,84,,1410026794.010000000,0.643914
27,DELHI,DELHI EAST,MANDOLI,All Ranges,7209,72,,1961557554.340000000,0.531885
28,DELHI,DELHI EAST,MANDOLI,All Ranges,7219,72,,1934348109.420000000,-0.107252
29,DELHI,DELHI EAST,MANDOLI,All Ranges,2202,22,,1141927784.060000000,0.275864
30,DELHI,DELHI EAST,MANDOLI,All Ranges,0802,80,,2859902539.740000000,0.085056
31,DELHI,DELHI EAST,MANDOLI,All Ranges,8711,87,,1209110579.400000000,0.370502
32,DELHI,DELHI EAST,MANDOLI,All Ranges,7308,73,,1795238116.560001000,0.857117
33,DELHI,DELHI EAST,MANDOLI,All Ranges,2106,21,,2354733241.650000000,0.145616
34,DELHI,DELHI EAST,MANDOLI,All Ranges,8414,84,,1722211436.350000000,0.432555
35,DELHI,DELHI EAST,MANDOLI,All Ranges,9405,94,,1722436953.570000000,-0.193017
36,DELHI,DELHI EAST,MANDOLI,All Ranges,4819,48,,1944390617.520000000,0.399449
37,DELHI,DELHI EAST,MANDOLI,All Ranges,7208,72,,1702992461.100001000,-0.011982
38,DELHI,DELHI EAST,MANDOLI,All Ranges,4412,44,,1536248954.530000000,0.805447
39,DELHI,DELHI EAST,MANDOLI,All Ranges,3917,39,,1627938716.510000000,0.095171
40,DELHI,DELHI EAST,MANDOLI,All Ranges,3923,39,,1576637941.790000000,0.767923
41,DELHI,DELHI EAST,MANDOLI,All Ranges,7605,76,,1533852626.030000000,1.063224
42,DELHI,DELHI EAST,MANDOLI,All Ranges,8471,84,,1502925752.530000000,0.289329
43,DELHI,DELHI EAST,MANDOLI,All Ranges,3920,39,,1409953788.530000000,0.248015
44,DELHI,DELHI EAST,MANDOLI,All Ranges,3824,38,,1432378102.660000000,-0.088072
45,DELHI,DELHI EAST,MANDOLI,All Ranges,8536,85,,1366503085.210000000,0.145086
46,DELHI,DELHI EAST,MANDOLI,All Ranges,3209,32,,610166667.969999900,-0.088109
47,DELHI,DELHI EAST,MANDOLI,All Ranges,8421,84,,1338507204.330000000,0.088655
48,DELHI,DELHI EAST,MANDOLI,All Ranges,7902,79,,1310511208.400000000,0.472283
49,DELHI,DELHI EAST,MANDOLI,All Ranges,3808,38,,1265069183.360000000,1.038246
50,DELHI,DELHI EAST,MANDOLI,All Ranges,8413,84,,1244726382.320000000,0.069874
51,DELHI,DELHI EAST,MANDOLI,All Ranges,7607,76,,1241645673.610001000,0.621685
52,DELHI,DELHI EAST,MANDOLI,All Ranges,3305,33,,1213968301.330000000,0.017540
53,DELHI,DELHI EAST,MANDOLI,All Ranges,3208,32,,1151830994.300000000,1.979203
54,DELHI,DELHI EAST,MANDOLI,All Ranges,8507,85,,1133341931.220000000,0.040110
55,DELHI,DELHI EAST,MANDOLI,All Ranges,2710,27,,3282079923.530001000,0.175418
56,DELHI,DELHI EAST,MANDOLI,All Ranges,3904,39,,1101452543.810000000,0.554569
57,DELHI,DELHI EAST,MANDOLI,All Ranges,7210,72,,1083140248.240000000,0.478185
58,DELHI,DELHI EAST,MANDOLI,All Ranges,4811,48,,1071422579.000000000,-0.384630
59,DELHI,DELHI EAST,MANDOLI,All Ranges,8504,85,,1067019875.610000000,0.228850
60,DELHI,DELHI EAST,MANDOLI,All Ranges,4202,42,,1120811861.020000000,-0.015020
61,DELHI,DELHI EAST,MANDOLI,All Ranges,3304,33,,1102628798.880000000,-0.082532
62,DELHI,DELHI EAST,MANDOLI,All Ranges,7216,72,,1001348861.590000000,0.264113
63,DELHI,DELHI EAST,MANDOLI,All Ranges,3907,39,,989541819.469999800,0.025465
64,DELHI,DELHI EAST,MANDOLI,All Ranges,7901,79,,981568823.760000000,0.155665
65,DELHI,DELHI EAST,MANDOLI,All Ranges,9606,96,,963604250.170000000,2.240202
66,DELHI,DELHI EAST,MANDOLI,All Ranges,3921,39,,957462281.250000000,0.041556
67,DELHI,DELHI EAST,MANDOLI,All Ranges,8442,84,,943902398.820000000,0.018657
68,DELHI,DELHI EAST,MANDOLI,All Ranges,2713,27,,930091841.700000000,6.318721
69,DELHI,DELHI EAST,MANDOLI,All Ranges,7606,76,,918142783.029999800,-0.093808
70,DELHI,DELHI EAST,MANDOLI,All Ranges,7318,73,,848400028.820000000,1.055069
71,DELHI,DELHI EAST,MANDOLI,All Ranges,9403,94,,769621609.530000000,0.105000
72,DELHI,DELHI EAST,MANDOLI,All Ranges,3506,35,,789399766.440000000,0.240688
73,DELHI,DELHI EAST,MANDOLI,All Ranges,8418,84,,785272812.809999900,0.371136
74,DELHI,DELHI EAST,MANDOLI,All Ranges,8528,85,,622872136.980000100,-0.361506
75,DELHI,DELHI EAST,MANDOLI,All Ranges,1905,19,,911466965.570000200,0.158775
76,DELHI,DELHI EAST,MANDOLI,All Ranges,8518,85,,762798639.650000000,0.409086
77,DELHI,DELHI EAST,MANDOLI,All Ranges,3701,37,,1104700321.640000000,-0.065756
78,DELHI,DELHI EAST,MANDOLI,All Ranges,3926,39,,769644725.730000100,0.076731
79,DELHI,DELHI EAST,MANDOLI,All Ranges,8516,85,,687573303.690000000,-0.187271
80,DELHI,DELHI EAST,MANDOLI,All Ranges,2711,27,,2771069960.700000000,-0.222090
81,DELHI,DELHI EAST,MANDOLI,All Ranges,7502,75,,675202613.040000000,0.455632
82,DELHI,DELHI EAST,MANDOLI,All Ranges,9503,95,,925876356.760000200,-0.088194
83,DELHI,DELHI EAST,MANDOLI,All Ranges,6203,62,,2263211373.270001000,-0.383329
84,DELHI,DELHI EAST,MANDOLI,All Ranges,4411,44,,639841067.020000100,0.671083
85,DELHI,DELHI EAST,MANDOLI,All Ranges,8001,80,,634654804.030000000,0.237006
86,DELHI,DELHI EAST,MANDOLI,All Ranges,4707,47,,2228848249.860000000,0.169143
87,DELHI,DELHI EAST,MANDOLI,All Ranges,7304,73,,612645660.410000300,1.630046
88,DELHI,DELHI EAST,MANDOLI,All Ranges,7323,73,,749036997.130000000,0.553058
89,DELHI,DELHI EAST,MANDOLI,All Ranges,4810,48,,875081048.780000100,0.226340
90,DELHI,DELHI EAST,MANDOLI,All Ranges,4407,44,,605307212.310000000,0.341838
91,DELHI,DELHI EAST,MANDOLI,All Ranges,7217,72,,590419822.589999900,0.291364
92,DELHI,DELHI EAST,MANDOLI,All Ranges,1701,17,,2115392823.560001000,-0.018023
93,DELHI,DELHI EAST,MANDOLI,All Ranges,8523,85,,577814524.599999900,-0.064508
