chapter2,chapter_value_y3,chapter_value_y2,chapter_value_y1,chapter_share_y3,chapter_yoy_change,chapter_cagr_3yr,chapter_cv_volatility,hsn_count,hsn_list_sample,top_hsn4_by_value_y3_json,sector_bucket,type,transformation_index_y3
01,1558489214.71,4329608267.830001,2957434230.01,0.0004154480793512663,-0.6400392094846228,-0.2740706545244529,0.3836927784727756,91,"0001,0100,0101,0102,0103,0104,0105,0106,0107,0108,0109,0110,0111,0112,0113","{""0102"": 824826765.68, ""0105"": 343771711.3800001, ""0104"": 192020158.5600001, ""0110"": 91157047.69999996, ""0190"": 24617026.52000001}",primary_raw,primary,3.417180094700069
02,6718566670.63,6427941709.67,5508800412.150001,0.0017909752553700205,0.04521275613355247,0.10435778409936192,0.08291868208268108,86,"0002,0200,0201,0202,0203,0204,0205,0206,0207,0208,0209,0210,0211,0212,0213","{""0207"": 3276274164.48, ""0202"": 1329072980.95, ""0201"": 917052057.4699998, ""0204"": 579419306.69, ""0203"": 247821266.85}",primary_raw,primary,3.417180094700069
03,2146226011.0600002,2941322848.990001,2218348406.44,0.0005721216840852645,-0.2703194714592529,-0.016390195740599633,0.14742428698894433,89,"0003,0300,0301,0302,0303,0304,0305,0306,0307,0308,0309,0310,0311,0312,0313","{""0304"": 1015254388.04, ""0302"": 282152905.7300001, ""0301"": 216314199.75, ""0306"": 163959059.75, ""0390"": 111961608.57}",primary_raw,primary,3.417180094700069
04,51060564825.729996,51710592171.96,44544041363.21,0.013611267493684657,-0.01257048737845396,0.07065117723838932,0.0659001434942579,73,"0004,0400,0401,0402,0403,0404,0405,0406,0407,0408,0409,0410,0411,0412,0413","{""0401"": 22885075253.29, ""0405"": 14303128151.35, ""0403"": 5869280973.74, ""0406"": 4000783056.73, ""0402"": 1705152556.129999}",primary_raw,primary,3.417180094700069
05,433734075.63,366759420.62000006,438052850.89000005,0.00011562094043955924,0.1826119555341769,-0.004941724248042734,0.07905499482262222,83,"0005,0500,0501,0502,0503,0504,0505,0506,0507,0508,0509,0510,0511,0512,0513","{""0504"": 125054521.84, ""0520"": 79449429.13, ""0506"": 58571748.81, ""0502"": 54483719.19000001, ""0508"": 40494343.07}",primary_raw,primary,3.417180094700069
06,1676287017.46,1290612502.64,1243725920.39,0.00044684956127515193,0.2988306048725602,0.16094554145005735,0.1380846260671066,75,"0006,0600,0601,0602,0603,0604,0605,0606,0608,0609,0610,0611,0612,0613,0614","{""0603"": 616328520.19, ""0602"": 423606051.3, ""0601"": 413885510.05, ""0620"": 66514133.83, ""0600"": 39765345.45}",primary_raw,primary,3.417180094700069
07,22311486958.77,22404370133.010002,13574248618.6,0.005947596118730038,-0.0041457614603121595,0.2820541176924529,0.21311541651563506,81,"0007,0700,0701,0702,0703,0704,0705,0706,0707,0708,0709,0710,0711,0712,0713","{""0713"": 14119241506.63, ""0709"": 1700967791.42, ""0710"": 1217087560.32, ""0703"": 1214263014.820001, ""0701"": 742784564.82}",primary_raw,primary,3.417180094700069
08,32122814440.88,33404026320.08,30564827919.51,0.008563011817379814,-0.03835501346224937,0.025169830569660157,0.03624452391898156,86,"0008,0800,0801,0802,0803,0804,0805,0806,0807,0808,0809,0810,0811,0812,0813","{""0802"": 17649783759.91, ""0801"": 4900873375.83, ""0804"": 2970389649.63, ""0808"": 1424038453.69, ""0810"": 1095345404.83}",primary_raw,primary,3.417180094700069
09,14050563188.290003,14732101016.9,11821976042.23,0.0037454731385259364,-0.04626209308693766,0.09018908300835982,0.09181856735281811,77,"0009,0900,0901,0902,0903,0904,0905,0906,0907,0908,0909,0910,0911,0912,0913","{""0902"": 4274265387.76, ""0910"": 3571658356.910001, ""0904"": 2010759988.39, ""0908"": 1720984815.470001, ""0909"": 1151464400.26}",primary_raw,primary,3.417180094700069
10,39949135863.14999,29066912029.64,23139043910.44,0.010649282400826075,0.3743852743082309,0.31395650606828873,0.22661801119798888,91,"0010,1000,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013","{""1006"": 26070057389.94999, ""1001"": 7901474446.359998, ""1005"": 4293701065.89, ""1008"": 871315358.8999999, ""1007"": 532572321.5200001}",primary_raw,primary,3.417180094700069
