zone,commissionerate,division,range,hsn4,chapter2,taxable_y1,taxable_y2,taxable_y3,share_original,yoy_change,mean_3yr,sd_3yr,cv_volatility,cagr_3yr,share_y3_computed
DELHI,DELHI EAST,All Divisions,All Ranges,8703,87,71273414476.61002,90639764084.18,89693240914.34,0.02390961985,-0.010442,83868806491.71,8914665876.643736,0.10629298602842172,0.12180165382560548,0.02390961985295917
DELHI,DELHI EAST,All Divisions,All Ranges,8471,84,118571162723.53,144162666114.8701,145879901193.5,0.0388873559,0.011911,136204576677.30003,12488399679.371197,0.0916885466261467,0.10919573483783696,0.03888735590516704
DELHI,DELHI EAST,All Divisions,All Ranges,8517,85,141083409467.12,181370344393.78,136257076675.7801,0.03632218963,-0.248735,152903610178.89337,20225225004.087326,0.13227434578179234,-0.017253376488455374,0.03632218963639379
DELHI,DELHI EAST,All Divisions,All Ranges,7404,74,97002278354.11002,130394243765.69,128184402877.78,0.03417024864,-0.016947,118526974999.19334,15246972889.388365,0.12863715529306413,0.14954671536985797,0.03417024864575145
DELHI,DELHI EAST,All Divisions,All Ranges,2402,24,3120912377.030001,4739336277.79,11060269634.88,0.00294834749,1.333716,6306839429.900001,3425507068.629884,0.5431416332545187,0.8825307095570776,0.002948347498043512
DELHI,DELHI EAST,All Divisions,All Ranges,7408,74,62839712346.30002,75414507717.95999,79126607431.55003,0.02109286145,0.049222,72460275831.93669,6969521858.625258,0.09618403709627418,0.12213259756356121,0.021092861453735512
DELHI,DELHI EAST,All Divisions,All Ranges,7204,72,105266596301.34,85147926613.08,75631410513.7,0.0201611432,-0.111764,88681977809.37334,12353898104.390686,0.13930562228715795,-0.15237099448216485,0.020161143202001918
DELHI,DELHI EAST,All Divisions,All Ranges,2106,21,34723983683.03,42734580709.02002,43883892777.39,0.01169817461,0.026894,40447485723.146675,4074235000.5892735,0.10072900522115104,0.1241850380300491,0.011698174614712396
DELHI,DELHI EAST,All Divisions,All Ranges,8544,85,51718178515.33001,61344986022.17001,62121374011.25,0.01655975882,0.012656,58394846182.91668,4731744775.798513,0.08103017791975584,0.09597063008689566,0.016559758820299444
DELHI,DELHI EAST,All Divisions,All Ranges,3004,30,74409234531.80002,88809167125.80997,90023564623.49998,0.02399767458,0.013674,84413988760.37,7091780251.397411,0.0840119079259385,0.09992908056312877,0.023997674585221295
DELHI,DELHI EAST,All Divisions,All Ranges,8548,85,15377844921.95,24351920632.41,49520165527.86002,0.01320064166,1.033521,29749977027.406677,14451730547.397207,0.48577283048265174,0.794499350083107,0.013200641662146129
DELHI,DELHI EAST,All Divisions,All Ranges,7602,76,26161861959.22,36340725680.05,49631630054.92001,0.01323035487,0.36573,37378072564.73,9609528952.584896,0.2570900074085805,0.3773520019454999,0.01323035487622922
DELHI,DELHI EAST,All Divisions,All Ranges,9807,98,57700.0,14956272381.23,30758720576.1,0.0081993839,1.056576,15238350219.11,12558755549.054487,0.8241545422223525,729.1233315738459,0.008199383907203258
DELHI,DELHI EAST,All Divisions,All Ranges,2523,25,19292999771.35,27906013696.79,30007305166.51999,0.00799907832,0.075298,25735439544.88666,4635560313.98761,0.1801236114853396,0.2471354316816139,0.007999078325516542
DELHI,DELHI EAST,All Divisions,All Ranges,8415,84,18303746559.84999,19321156557.0,24190928606.51,0.00644860081,0.252043,20605277241.119995,2569234978.3761945,0.12468820236250043,0.14962519457224066,0.006448600819588139
DELHI,DELHI EAST,All Divisions,All Ranges,7214,72,26165409770.14,28037384367.69,35704524990.08,0.00951779209,0.273461,29969106375.97,4126931243.4929776,0.13770618288445388,0.16814797258151915,0.009517792097161342
DELHI,DELHI EAST,All Divisions,All Ranges,7108,71,68855556339.34,86769190200.12999,167099230333.9901,0.04454381438,0.925789,107574658957.82002,42720842045.869415,0.397127376091615,0.5578216275144028,0.04454381438645293
DELHI,DELHI EAST,All Divisions,All Ranges,2202,22,11209838573.2,12238204756.06,15191377726.26,0.00404958124,0.241307,12879807018.506668,1687582808.678327,0.1310254731498292,0.1641230859478513,0.004049581247983613
DELHI,DELHI EAST,All Divisions,All Ranges,6203,62,79229789290.38,84431341635.90996,77201817350.94002,0.02057976817,-0.085626,80287649425.74333,3044755753.338923,0.037923089978552246,-0.01288099953417432,0.02057976817429784
DELHI,DELHI EAST,All Divisions,All Ranges,8473,84,18898696558.39,25239571083.55999,26961398184.06,0.00718712775,0.068219,23699888608.67,3466963702.219177,0.14628607583205588,0.19441508364574123,0.007187127755822623
DELHI,DELHI EAST,All Divisions,All Ranges,3901,39,17010740495.67,20910075945.94,26678489478.60001,0.00711171249,0.275867,21533101973.403336,3971352722.722122,0.1844301265849829,0.25233064641209624,0.007111712490060275
DELHI,DELHI EAST,All Divisions,All Ranges,6204,62,47504928857.53002,55313594009.80001,57691046036.13001,0.01537876171,0.042981,53503189634.48669,4351047291.220639,0.08132313832026332,0.10200831328912097,0.015378761716959032
DELHI,DELHI EAST,All Divisions,All Ranges,2403,24,5330156100.359999,4088480768.33,4559054973.159999,0.00121531199,0.115097,4659230613.95,511837068.34546304,0.10985441819793035,-0.07515819967783355,0.0012153119921388745
DELHI,DELHI EAST,All Divisions,All Ranges,8528,85,17115209139.07,17927231661.45999,18321751213.87,0.00488404814,0.022006,17788064004.8,502302479.9599323,0.028238175881556818,0.03464743555041139,0.0048840481411803645
DELHI,DELHI EAST,All Divisions,All Ranges,3902,39,14144739021.89,15414851713.94,21149216198.21,0.0056377684,0.372002,16902935644.68,3047017171.715305,0.18026556071485236,0.22278377915755976,0.005637768401859608
DELHI,DELHI EAST,All Divisions,All Ranges,7601,76,8142185071.170001,12455746824.58,19043836725.3,0.00507653522,0.528919,13213922873.683334,4482754018.686451,0.33924475430488865,0.5293494803441177,0.005076535221629485
DELHI,DELHI EAST,All Divisions,All Ranges,8443,84,16097095737.06,19356952327.6,18412756821.08001,0.00490830759,-0.048778,17955601628.58,1369527753.2161846,0.07627300836504981,0.06951195926220866,0.004908307599871986
DELHI,DELHI EAST,All Divisions,All Ranges,8708,87,11446737576.33,13180281168.89,12350225719.95,0.00329221242,-0.062977,12325748155.056665,707927825.988774,0.05743487673795647,0.03871543299126978,0.0032922124237238165
DELHI,DELHI EAST,All Divisions,All Ranges,3904,39,18152341312.65,16577485772.23,18062774561.92,0.00481501246,0.089596,17597533882.266666,722209185.209343,0.04104036338507212,-0.0024701361387158283,0.004815012467635797
DELHI,DELHI EAST,All Divisions,All Ranges,8711,87,8191824757.570001,10442318915.84,11463868692.19,0.00305593531,0.097827,10032670788.533333,1366851996.0540173,0.13624009248028324,0.18297420518592267,0.0030559353155303476
DELHI,DELHI EAST,All Divisions,All Ranges,7801,78,13047046772.95,13594366380.3,15693661325.62,0.0041834755,0.154423,14111691492.956667,1140719393.406366,0.08083505751069703,0.09674592242543456,0.004183475505752078
DELHI,DELHI EAST,All Divisions,All Ranges,4810,48,22274471122.04,22388830084.83001,23277072889.71,0.00620499335,0.039673,22646791365.52667,448115009.70751333,0.0197871302152605,0.022257917100273694,0.006204993357460543
DELHI,DELHI EAST,All Divisions,All Ranges,7604,76,8171692946.150001,11783255915.11,13885874791.9,0.00370157198,0.178441,11280274551.053335,2359761461.2520967,0.20919361940811498,0.3035587307058514,0.0037015719826334983
DELHI,DELHI EAST,All Divisions,All Ranges,7113,71,62606864640.87001,76231575907.92,95338454452.73,0.02541447025,0.250642,78058965000.50667,13424945836.63171,0.171984676411538,0.2340224941026976,0.025414470255461504
DELHI,DELHI EAST,All Divisions,All Ranges,9018,90,18266800103.15,21868659786.04,23295788565.31,0.00620998241,0.065259,21143749484.833332,2116097421.6280396,0.10008146488615664,0.12929516790143913,0.006209982414432123
DELHI,DELHI EAST,All Divisions,All Ranges,8523,85,12086554892.32,16287531199.88,14525985695.23,0.003872207,-0.108153,14300023929.143332,1722468098.1989896,0.1204521129988191,0.09628012762704619,0.0038722070071496844
DELHI,DELHI EAST,All Divisions,All Ranges,8518,85,12244596212.28001,15399491545.65,14154159694.28,0.00377308896,-0.080868,13932749150.73667,1297461139.4884624,0.09312312490890295,0.07515186249403483,0.0037730889661074284
DELHI,DELHI EAST,All Divisions,All Ranges,8507,85,12038079796.17,11465309680.12,10903647115.94,0.00290659647,-0.048987,11469012197.410002,463137602.2804793,0.04038164702493452,-0.04828418781259736,0.0029065964714322127
DELHI,DELHI EAST,All Divisions,All Ranges,8504,85,13885729825.19,15159152250.63001,14112157377.67,0.00376189236,-0.069066,14385679817.830004,554684332.0644584,0.03855808964807958,0.008120276917643388,0.003761892365194681
DELHI,DELHI EAST,All Divisions,All Ranges,3304,33,9584709303.549995,12549540706.82,13496583416.69999,0.00359779817,0.075464,11876944475.689995,1666329106.5254743,0.14029947769278162,0.1866494678430135,0.003597798178741662
DELHI,DELHI EAST,All Divisions,All Ranges,8536,85,11729946409.39,13407223177.49001,13166097629.22001,0.00350970024,-0.017984,12767755738.700006,740414989.7227869,0.05799100522251805,0.059450137312047735,0.0035097002410944024
DELHI,DELHI EAST,All Divisions,All Ranges,7306,73,9511245521.299997,11255988323.62,13141605327.94,0.0035031713,0.167521,11302946390.953333,1482460089.7343063,0.1311569601817133,0.17545366332060963,0.0035031713030500245
DELHI,DELHI EAST,All Divisions,All Ranges,9102,91,8689053227.18,11462915991.89,12370693875.12,0.00329766864,0.079192,10840887698.063334,1566058505.4804947,0.14445851198700846,0.19319328662514357,0.003297668640984083
DELHI,DELHI EAST,All Divisions,All Ranges,8704,87,3797837272.22,10050409428.87,8280909649.73,0.00220745063,-0.176062,7376385450.273334,2631512576.96415,0.3567482467807642,0.4766271418804029,0.0022074506366743483
DELHI,DELHI EAST,All Divisions,All Ranges,3920,39,9671717959.070002,11580232711.07,11724756433.13,0.00312548043,0.01248,10992235701.089998,935609286.9717628,0.08511546808252911,0.10103241007106178,0.00312548043004048
DELHI,DELHI EAST,All Divisions,All Ranges,3923,39,9275227546.140001,10831626731.7,11941625504.72,0.00318329144,0.102477,10682826594.186668,1093625660.8403947,0.10237231234620235,0.13466964662690306,0.0031832914424057617
