chapter2,chapter_value_y3,chapter_value_y2,chapter_value_y1,chapter_share_y3,chapter_yoy_change,chapter_cagr_3yr,chapter_cv_volatility,hsn_count,hsn_list_sample,top_hsn4_by_value_y3_json,sector_bucket,type,transformation_index_y3
01,86193525.30000001,152896191.98000002,131690248.9,0.00013397152975138442,-0.4362611378099281,-0.1909776630391482,0.22514667233457578,29,"0100,0101,0102,0104,0105,0106,0109,0110,0114,0119,0120,0121,0124,0125,0130","{""0104"": 65837582.14000001, ""0100"": 4827473.130000002, ""0110"": 3831505.120000001, ""0180"": 3609907.77, ""0151"": 2389839.39}",primary_raw,primary,9.653984612140698
02,1133575760.13,792783035.83,1255851695.91,0.0017619290793029498,0.4298688403986961,-0.0499289229573161,0.18471833200623056,35,"0002,0200,0201,0202,0204,0206,0207,0208,0210,0212,0216,0220,0222,0223,0224","{""0207"": 474804561.0700001, ""0202"": 380217802.42, ""0201"": 186115566.28, ""0206"": 51238112.30000001, ""0204"": 26707291.41}",primary_raw,primary,9.653984612140698
03,152382985.74,157053656.09,374857315.78000003,0.0002368505248696586,-0.0297393290056454,-0.36241918012399277,0.45503266320337565,38,"0300,0301,0302,0303,0304,0305,0306,0307,0308,0310,0313,0317,0320,0321,0324","{""0302"": 49506540.23000002, ""0390"": 27629862.0, ""0392"": 21414343.96, ""0301"": 19483579.6, ""0300"": 17472792.23}",primary_raw,primary,9.653984612140698
04,4834619588.9800005,4767619218.990001,4757618412.1,0.007514501580568952,0.014053213336150932,0.008059926610955115,0.0071420281886203155,28,"0400,0401,0402,0403,0404,0405,0406,0407,0408,0409,0410,0411,0412,0419,0420","{""0401"": 3214594876.13, ""0403"": 651775523.8599997, ""0405"": 482008697.0000001, ""0470"": 158145250.14, ""0402"": 150438010.29}",primary_raw,primary,9.653984612140698
05,63681268.33,61466174.69,76531420.03,9.898048496084065e-05,0.03603760362787595,-0.08780861471567647,0.09879431305823325,28,"0500,0502,0504,0505,0506,0507,0508,0510,0511,0513,0515,0516,0517,0520,0521","{""0506"": 19603729.0, ""0507"": 13056420.0, ""0520"": 11803931.66, ""0521"": 4320939.47, ""0580"": 3135046.1}",primary_raw,primary,9.653984612140698
06,190373078.89000002,203662234.50000003,324994554.97999996,0.0002958989380420931,-0.0652509565292038,-0.23464182656056487,0.2527252737545955,33,"0006,0600,0601,0602,0603,0604,0606,0608,0610,0611,0613,0615,0620,0621,0622","{""0620"": 51818120.87000001, ""0602"": 43642230.04, ""0600"": 36425595.22000001, ""0611"": 21517474.47, ""0610"": 12526960.55}",primary_raw,primary,9.653984612140698
07,1440826434.3,1287432370.05,777350574.4399999,0.0022394921293398306,0.11914727935887043,0.36143644395577956,0.24270559265319117,36,"0007,0700,0701,0702,0703,0704,0705,0706,0707,0708,0709,0710,0711,0712,0713","{""0713"": 1082842903.75, ""0703"": 117246519.24, ""0709"": 67683876.2, ""0702"": 55403576.54000002, ""0710"": 34536115.86000001}",primary_raw,primary,9.653984612140698
08,4617744770.33,5942213156.28,4142536708.19,0.007177410701434268,-0.22289142969404283,0.05580029694713029,0.15538081610137874,45,"0801,0802,0803,0804,0805,0806,0807,0808,0809,0810,0811,0812,0813,0815,0817","{""0802"": 3675350033.0, ""0801"": 570427778.6000001, ""0810"": 187602520.14, ""0804"": 51526793.31000002, ""0848"": 28479165.86}",primary_raw,primary,9.653984612140698
09,1704662912.9700005,1433392392.64,1518431864.6900003,0.0026495760251848293,0.18925070463809182,0.05955035625365679,0.07298527234491509,41,"0009,0900,0901,0902,0903,0904,0905,0906,0907,0908,0909,0910,0912,0913,0918","{""0908"": 863361434.7100002, ""0902"": 266938681.3500001, ""0904"": 170911152.6400001, ""0910"": 140325958.11, ""0909"": 121547694.9}",primary_raw,primary,9.653984612140698
10,7014373067.509997,6306633112.799998,5753906794.2,0.010902516016492773,0.11222152011246124,0.10411171776281414,0.08113463413939734,32,"0010,1000,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1016,1019","{""1006"": 5887354056.729998, ""1005"": 636661753.1399999, ""1001"": 286442051.6, ""1008"": 175889163.48, ""1003"": 12845571.19}",primary_raw,primary,9.653984612140698
